student_id,age,degree,cgpa,python_score,sql_score,statistics_score,ml_score,dl_score,genai_score,ml_projects,end_to_end_projects,deployed_projects,kaggle_competitions,best_competition_rank,hackathons_attended,hackathons_won,finalist_status,github_projects,internship_months,certifications,ml_interview_score,communication_score,dsa_score,resume_score,mock_interview_score,job_ready,career_track
S100154,25,B.Tech,7.96,8.7,5.9,5.5,5.0,3.9,6.8,2,1,0,4,122.0,3,0,0,3,4,4.0,8.9,5.5,8.8,7.5,4.8,1,0
S100155,20,B.Sc,8.0,9.4,5.9,2.4,6.2,4.1,6.1,1,1,1,1,211.0,2,1,1,1,2,2.0,8.3,9.2,3.7,2.9,7.5,1,3
S100156,24,B.Tech,5.0,7.9,6.3,4.3,4.2,0.8,4.3,2,1,1,1,179.0,4,0,1,2,3,4.0,5.6,8.5,5.1,5.8,7.9,1,4
S100157,25,B.Sc,8.57,7.0,5.7,4.7,3.8,2.1,7.1,5,1,1,0,,4,0,1,4,3,2.0,6.2,4.3,5.8,6.5,5.7,0,5
S100158,20,M.Tech,5.0,7.8,5.7,4.7,3.5,3.4,3.1,3,1,1,0,,2,0,0,5,1,0.0,2.2,9.4,7.9,9.6,2.7,0,5
S100159,23,M.Tech,6.95,5.3,7.0,5.6,4.9,3.0,2.1,4,1,0,2,299.0,1,0,0,3,2,4.0,5.8,4.4,4.7,4.9,3.9,1,0
S100160,23,B.Tech,8.42,6.2,4.7,8.4,6.3,4.8,0.0,3,0,0,1,190.0,2,0,0,3,1,0.0,6.6,5.3,6.7,5.8,6.2,1,1
S100161,22,MCA,7.21,5.0,3.9,7.1,2.0,5.8,4.8,5,1,0,1,444.0,4,1,3,1,0,3.0,4.9,7.7,8.5,9.0,7.0,0,5
S100162,24,B.Tech,,4.3,10.0,3.5,5.7,9.5,3.2,4,3,0,3,181.0,4,0,2,4,1,1.0,2.4,8.4,2.8,4.9,7.8,1,2
S100163,22,B.Tech,6.52,7.1,4.4,6.9,8.8,4.5,5.9,1,1,1,1,59.0,3,0,0,7,2,3.0,8.7,6.7,3.1,7.9,1.7,0,5
S100164,22,B.Sc,8.42,6.8,6.0,6.8,8.0,7.0,0.7,5,1,1,1,424.0,3,2,3,2,2,2.0,6.3,5.4,5.5,6.7,7.5,1,3
S100165,22,B.Tech,5.77,7.7,2.8,3.9,4.6,2.7,3.6,1,1,1,2,66.0,1,0,0,4,1,6.0,8.9,6.0,7.7,5.6,8.7,1,2
S100166,24,MCA,,7.5,6.0,7.2,3.0,0.8,6.0,4,0,0,1,36.0,3,0,1,6,4,1.0,7.0,5.8,6.4,6.8,1.0,0,5
S100167,23,MCA,7.45,6.9,3.9,5.2,6.7,3.7,2.7,6,2,1,2,237.0,6,1,1,2,1,3.0,8.2,8.0,7.9,5.7,5.8,1,2
S100168,22,B.Tech,6.43,7.5,4.9,2.7,1.2,1.0,5.9,4,2,0,1,289.0,2,0,1,5,5,0.0,7.8,5.8,2.3,10.0,7.3,0,5
S100169,25,BCA,6.98,6.4,7.9,6.4,8.0,4.5,3.8,4,0,0,0,,3,2,2,5,1,2.0,4.1,5.3,6.4,2.3,3.0,0,5
S100170,24,B.Tech,6.58,7.2,6.7,5.9,5.4,2.8,4.9,1,1,1,2,419.0,5,0,2,6,2,2.0,4.5,3.8,0.0,5.5,4.8,1,0
S100171,25,B.Tech,8.28,5.2,6.9,5.0,9.5,0.2,6.3,3,1,0,1,139.0,2,1,2,3,1,5.0,4.6,5.4,8.4,,6.9,0,5
S100172,24,B.Tech,8.16,7.2,2.3,5.4,2.3,8.3,7.1,2,2,0,3,481.0,7,1,2,4,1,0.0,3.6,6.3,8.1,5.8,4.8,0,5
S100173,22,BCA,5.95,7.7,9.5,4.1,7.6,3.3,5.2,1,1,0,0,,5,0,1,5,5,2.0,9.0,4.5,5.1,7.9,5.1,1,0
S100174,24,B.Tech,7.14,5.3,3.4,6.7,5.6,0.9,3.2,2,1,0,2,93.0,5,1,2,4,1,4.0,5.6,3.4,1.1,5.2,6.2,0,5
S100175,21,B.Tech,6.72,6.6,8.9,5.4,5.1,6.5,4.0,1,1,0,1,205.0,3,0,1,5,1,1.0,6.4,,5.3,6.9,3.5,0,5
S100176,21,B.Tech,8.66,5.4,7.8,5.8,3.1,2.9,6.4,3,1,0,1,38.0,5,0,0,1,2,1.0,2.8,4.7,8.0,6.4,3.7,0,5
S100177,22,BCA,6.28,5.6,7.0,6.2,7.0,6.9,2.8,2,2,0,0,,5,0,1,2,3,1.0,7.1,4.1,6.5,7.5,6.7,1,3
S100178,25,MCA,8.94,4.5,4.1,3.2,7.2,2.9,4.6,4,4,1,3,324.0,1,0,0,6,4,2.0,4.7,9.3,9.4,5.8,7.7,1,2
S100179,23,M.Tech,7.47,8.8,6.1,3.7,9.4,3.3,4.2,3,0,0,2,215.0,3,0,2,4,1,0.0,8.0,8.0,5.1,6.6,6.6,1,1
S100180,22,MCA,6.45,8.4,4.9,1.1,7.8,5.3,4.8,3,2,0,1,339.0,0,0,0,3,3,3.0,4.1,8.3,9.8,5.8,8.5,1,3
S100181,22,MCA,6.89,7.5,5.9,6.6,4.6,5.8,2.8,6,2,0,0,,2,0,1,5,0,2.0,8.2,7.4,1.7,4.2,6.6,0,5
S100182,21,B.Tech,6.78,10.0,5.3,3.1,3.8,6.2,0.9,2,1,0,1,300.0,2,0,1,4,3,2.0,7.4,8.9,4.2,8.9,9.5,1,3
S100183,23,B.Tech,6.35,6.2,1.7,5.8,3.1,4.3,6.1,1,1,1,2,199.0,3,0,0,5,1,4.0,4.6,8.1,3.1,4.6,5.9,0,5
S100184,22,M.Tech,7.59,10.0,8.0,6.2,8.7,5.7,7.1,2,1,1,2,176.0,2,0,0,5,1,3.0,8.3,5.9,7.2,5.1,6.3,1,4
S100185,23,B.Sc,6.39,6.1,5.6,6.7,4.2,6.1,1.1,1,1,1,3,128.0,0,0,0,2,1,4.0,7.8,4.6,3.3,4.5,6.6,0,5
S100186,22,B.Tech,5.54,7.0,4.8,3.1,8.8,4.9,5.8,3,2,0,0,,3,2,3,1,2,6.0,6.5,4.2,7.7,6.7,4.5,1,2
S100187,21,B.Tech,7.16,5.8,4.7,5.4,6.9,4.2,7.4,3,0,0,1,236.0,2,0,1,3,2,7.0,3.5,6.2,7.1,5.1,4.2,0,5
S100188,25,M.Tech,5.88,7.2,6.5,8.8,6.5,1.3,6.3,2,1,1,0,,4,2,4,2,0,0.0,7.1,4.5,6.1,8.7,4.0,1,0
S100189,22,B.Tech,6.82,8.0,4.0,8.9,5.2,5.8,4.1,3,1,1,1,360.0,3,1,2,6,1,1.0,5.6,5.1,5.5,7.0,4.7,1,0
S100190,20,BCA,6.68,6.3,1.3,7.5,7.1,4.6,2.9,4,1,1,3,265.0,2,1,1,1,0,3.0,5.6,6.2,3.6,5.5,9.9,1,3
S100191,22,B.Tech,6.72,9.7,6.6,6.2,5.8,3.6,5.2,1,0,0,2,476.0,5,1,1,1,0,0.0,5.6,9.0,6.9,4.4,9.4,0,5
S100192,23,B.Tech,9.3,6.9,6.8,3.5,5.1,7.3,5.5,3,1,1,1,121.0,3,0,1,4,3,4.0,5.4,3.8,4.7,5.8,5.1,1,3
S100193,20,MCA,7.55,7.0,5.4,6.9,7.2,1.4,5.2,1,1,0,1,22.0,6,2,3,2,4,6.0,3.8,6.6,7.2,6.9,5.0,1,4
S100194,21,B.Tech,7.72,4.9,3.5,5.2,5.5,8.1,4.6,1,1,1,0,,2,0,0,5,2,5.0,2.5,4.2,8.7,5.9,1.5,0,5
S100195,20,B.Tech,5.9,7.3,6.0,6.6,4.2,4.5,2.6,6,4,1,2,266.0,1,1,1,2,2,2.0,2.1,5.5,5.1,5.7,3.8,1,2
S100196,23,B.Sc,6.91,6.3,2.9,4.2,7.0,5.2,5.9,1,1,0,2,410.0,7,2,3,1,0,3.0,6.1,8.2,8.3,4.2,4.2,0,5
S100197,24,MCA,7.69,5.4,3.7,5.2,5.7,3.6,6.0,2,1,0,3,318.0,7,1,2,2,4,5.0,0.7,5.0,6.1,10.0,4.9,1,4
S100198,25,B.Tech,6.58,5.1,4.3,5.8,6.8,0.8,5.4,2,1,0,1,469.0,2,0,2,6,1,1.0,7.0,6.0,6.9,5.6,4.7,1,4
S100199,22,B.Tech,8.32,10.0,7.5,6.0,4.9,4.2,5.2,0,0,0,1,43.0,2,0,1,3,3,1.0,6.5,6.8,3.1,3.5,6.2,0,5
S100200,25,M.Tech,6.42,6.0,5.1,6.5,3.4,5.2,8.7,1,1,1,0,,1,0,0,2,2,3.0,4.9,,4.3,4.1,7.3,1,4
S100201,21,BCA,7.24,3.9,4.9,4.3,9.3,6.0,3.6,1,1,1,1,414.0,3,1,2,2,1,3.0,7.6,5.5,4.3,5.4,4.3,0,5
S100202,24,B.Tech,6.97,5.2,9.7,2.8,8.9,4.1,7.8,2,2,1,2,251.0,1,0,0,2,2,4.0,5.0,8.8,8.4,9.5,8.7,1,2
S100203,23,B.Tech,7.65,6.4,6.5,8.7,7.6,0.0,3.4,0,0,0,1,138.0,0,0,0,3,3,1.0,6.3,5.7,5.0,5.7,6.5,0,5
S100204,24,B.Tech,6.92,7.5,6.5,10.0,5.0,1.1,7.4,3,2,0,1,384.0,0,0,0,5,5,3.0,1.6,7.4,7.0,5.3,7.6,1,0
S100205,24,B.Tech,7.26,7.5,5.1,6.4,5.2,9.0,7.7,2,0,0,3,437.0,1,0,1,1,2,1.0,1.0,6.2,5.6,7.5,4.9,1,4
S100206,23,B.Tech,7.29,7.7,4.6,2.9,8.6,2.1,4.4,3,1,0,1,130.0,4,2,3,2,1,2.0,5.0,7.8,5.0,7.7,6.9,1,1
S100207,21,B.Sc,6.84,5.3,1.4,4.0,5.1,7.6,8.7,3,2,0,3,276.0,5,0,0,3,3,2.0,6.3,10.0,2.8,7.2,6.7,1,2
S100208,23,B.Tech,7.94,7.1,7.7,6.5,4.5,2.4,6.0,5,1,0,3,402.0,7,0,1,5,1,4.0,7.4,6.0,1.9,6.4,8.7,1,0
S100209,24,B.Tech,7.71,4.9,6.7,8.2,9.5,4.1,3.1,4,0,0,2,76.0,2,0,2,6,2,2.0,5.1,6.5,5.0,4.0,7.1,1,2
S100210,25,B.Sc,7.42,5.4,5.4,3.1,5.7,5.9,4.2,2,2,1,0,,3,0,2,5,1,2.0,6.0,5.7,5.1,4.6,7.5,0,5
S100211,25,B.Sc,7.11,4.8,5.5,5.3,9.3,2.7,7.5,3,2,0,0,,3,0,1,7,4,2.0,7.1,5.4,3.9,3.1,4.7,1,2
S100212,21,B.Tech,8.22,4.4,7.3,5.9,3.0,8.0,7.0,2,1,0,2,376.0,4,0,1,4,3,2.0,5.2,5.2,6.0,5.6,8.2,1,3
S100213,23,MCA,7.29,8.4,2.7,7.2,6.8,4.7,2.7,4,0,0,0,,2,0,0,4,2,2.0,6.7,6.5,9.6,5.2,3.2,0,5
S100214,20,M.Tech,7.22,7.7,4.6,4.8,9.9,5.5,4.7,1,1,0,1,298.0,2,0,1,6,2,7.0,3.2,5.1,8.7,5.0,4.7,1,1
S100215,24,M.Tech,7.59,8.3,3.5,2.4,5.9,3.9,5.4,1,1,1,0,,4,0,1,1,0,2.0,2.2,5.2,5.7,6.5,6.4,0,5
S100216,25,B.Tech,9.03,6.6,9.3,6.7,5.3,5.9,3.9,1,1,0,0,,4,3,3,4,1,2.0,4.4,0.8,5.7,4.8,3.5,0,5
S100217,20,B.Tech,6.29,7.9,7.6,7.7,3.5,8.0,10.0,1,0,0,2,404.0,4,1,2,8,2,1.0,7.0,9.0,6.9,5.4,4.0,1,4
S100218,23,BCA,8.19,3.3,1.4,5.3,8.0,4.2,5.5,2,2,0,1,110.0,3,0,1,4,2,5.0,4.1,9.5,6.1,5.1,4.0,0,5
S100219,25,B.Tech,5.8,8.1,2.8,6.3,4.3,8.3,4.9,2,1,1,1,288.0,3,0,0,4,2,2.0,6.8,7.7,6.9,5.9,6.6,1,3
S100220,25,B.Tech,7.7,6.8,5.5,4.6,5.6,3.2,7.6,2,2,1,3,366.0,2,0,1,9,3,2.0,3.4,4.9,6.2,6.7,5.5,1,4
S100221,22,B.Tech,8.92,7.6,4.9,3.8,3.3,6.2,4.2,1,1,1,2,136.0,4,1,3,5,1,2.0,4.3,4.2,5.8,3.6,7.7,0,5
S100222,20,B.Sc,7.94,7.2,3.2,7.6,8.9,5.6,7.2,4,1,1,1,82.0,2,0,0,2,2,2.0,6.0,3.7,4.3,6.8,9.6,0,5
S100223,25,BCA,7.65,4.7,9.7,6.3,8.1,2.1,1.3,1,0,0,1,219.0,2,0,1,2,0,0.0,4.2,7.7,6.3,6.5,6.3,0,5
S100224,25,B.Tech,7.0,3.8,6.4,6.5,5.7,5.0,4.0,1,0,0,1,360.0,3,0,1,2,1,4.0,4.5,8.8,1.1,6.8,4.8,0,5
S100225,23,BCA,7.53,5.2,6.7,8.5,3.5,4.5,7.3,1,0,0,2,264.0,0,0,0,1,1,5.0,0.3,6.8,6.1,6.2,6.5,0,5
S100226,25,B.Tech,7.27,7.5,4.4,3.4,8.9,2.6,8.5,3,1,0,1,302.0,3,0,1,5,1,1.0,7.2,8.0,1.5,6.7,4.0,0,5
S100227,20,B.Sc,6.79,7.7,7.2,4.4,5.1,5.3,3.3,1,1,0,1,333.0,5,3,3,3,2,2.0,5.3,7.3,6.1,5.3,5.7,0,5
S100228,23,B.Sc,7.24,4.0,5.0,5.8,3.6,4.8,3.0,6,0,0,1,477.0,2,0,0,7,2,2.0,3.6,5.1,3.6,,10.0,0,5
S100229,20,B.Tech,7.68,4.7,5.2,4.4,2.3,4.3,6.2,1,1,0,1,317.0,5,0,4,5,2,2.0,9.2,8.3,8.2,8.1,5.4,1,4
S100230,25,B.Tech,6.81,5.2,7.0,7.1,4.5,4.3,3.6,4,1,0,2,68.0,3,0,1,2,3,2.0,3.9,8.2,5.8,5.1,6.4,1,1
S100231,24,B.Tech,6.77,5.9,2.5,5.1,2.9,4.3,4.4,2,1,1,1,200.0,3,1,2,6,3,1.0,4.5,4.7,5.6,5.2,5.5,0,5
S100232,25,BCA,6.28,4.0,9.0,3.5,4.6,3.7,6.9,3,1,0,1,85.0,3,0,0,7,2,1.0,3.6,8.0,6.4,7.1,5.0,0,5
S100233,23,B.Sc,7.85,3.9,6.2,5.6,7.3,4.8,3.8,1,1,1,3,379.0,3,0,0,4,1,4.0,7.7,6.2,3.9,5.0,6.8,1,2
S100234,20,BCA,7.99,5.0,8.4,5.8,5.0,3.1,0.7,1,0,0,0,,5,0,1,4,1,1.0,8.4,6.0,7.8,4.7,3.3,1,0
S100235,20,MCA,7.71,6.7,3.6,7.4,6.5,10.0,2.1,2,1,1,2,385.0,4,0,1,2,4,3.0,8.2,7.2,7.0,6.8,5.5,1,3
S100236,22,B.Tech,8.37,4.4,4.0,6.3,4.4,1.4,5.0,3,2,0,1,123.0,4,0,2,6,4,3.0,8.1,7.1,4.5,5.2,3.1,0,5
S100237,24,M.Tech,7.58,6.3,3.5,6.4,5.9,3.2,0.9,1,1,1,2,348.0,4,0,1,5,4,3.0,4.3,8.1,3.5,8.2,8.9,0,5
S100238,20,B.Tech,7.85,8.4,6.3,6.1,9.6,3.4,4.3,1,0,0,2,11.0,3,0,0,4,2,2.0,8.8,5.0,4.8,5.2,7.8,1,1
S100239,25,B.Tech,7.77,4.2,5.9,5.1,5.1,9.0,1.9,1,1,0,4,136.0,3,0,0,4,0,2.0,5.1,7.5,5.3,4.5,4.3,1,3
S100240,21,MCA,7.42,6.1,4.9,4.1,6.6,1.6,8.6,2,0,0,1,152.0,3,2,2,5,6,2.0,2.4,4.4,3.3,6.0,2.1,0,5
S100241,22,M.Tech,7.02,8.3,3.8,6.1,2.7,5.4,9.8,0,0,0,4,235.0,0,0,0,3,0,6.0,4.6,6.2,4.6,6.8,6.8,1,4
S100242,21,B.Tech,9.49,5.7,3.3,4.8,8.8,5.0,2.7,1,1,1,4,160.0,1,0,0,3,0,2.0,6.2,6.3,4.3,6.6,5.7,0,5
S100243,22,B.Tech,7.09,5.5,5.7,8.9,4.8,5.2,5.6,1,1,0,3,216.0,3,0,0,3,6,4.0,4.2,8.2,5.1,7.0,10.0,1,0
S100244,22,B.Sc,6.9,8.6,4.9,8.2,7.9,7.2,2.9,1,1,1,0,,5,0,2,4,3,0.0,5.8,6.5,5.1,5.0,8.6,0,5
S100245,20,MCA,7.89,5.9,4.4,6.8,5.6,7.2,4.3,2,0,0,3,408.0,6,1,2,3,3,3.0,6.6,6.0,6.5,8.0,7.1,1,3
S100246,23,B.Sc,7.73,8.5,8.9,6.3,7.0,3.5,9.0,5,1,1,0,,6,1,4,1,2,1.0,6.3,9.1,5.6,3.0,4.7,1,1
S100247,24,B.Tech,6.24,7.3,5.6,5.3,7.1,4.9,4.0,2,1,1,4,404.0,4,0,2,1,2,2.0,6.8,5.7,6.3,4.6,5.3,1,1
S100248,25,B.Tech,8.51,5.9,8.3,3.0,4.9,0.4,4.4,6,1,0,1,29.0,1,0,0,5,2,2.0,5.1,5.7,6.0,6.1,6.4,0,5
S100249,21,B.Tech,7.42,7.4,4.7,5.1,8.0,4.7,2.9,6,3,1,2,433.0,1,0,0,1,0,2.0,4.0,3.1,5.1,4.7,6.5,0,5
S100250,25,B.Sc,6.5,7.1,6.3,5.7,4.3,2.8,7.5,1,1,1,2,313.0,2,0,0,5,4,0.0,2.6,6.1,6.9,5.4,4.4,0,5
S100251,25,MCA,8.57,8.3,5.7,6.0,7.4,4.1,0.0,2,2,0,0,,7,0,0,5,2,1.0,5.3,4.8,0.0,4.2,3.1,0,5
S100252,25,B.Tech,8.06,5.5,2.4,6.4,5.0,0.8,4.0,2,1,0,3,376.0,5,0,1,3,3,4.0,4.4,6.0,4.8,5.6,9.7,1,2
S100253,22,B.Tech,6.36,6.6,8.7,7.3,6.5,5.4,4.9,1,1,1,1,374.0,2,1,1,4,3,3.0,5.3,6.9,4.4,6.8,5.9,1,0
S100254,25,B.Tech,9.1,6.4,5.5,4.1,4.9,0.8,3.5,0,0,0,1,363.0,1,0,0,6,2,1.0,1.4,,5.7,5.0,6.6,0,5
S100255,23,M.Tech,8.09,7.8,7.3,4.1,5.9,4.8,6.9,2,2,1,1,435.0,2,0,1,5,4,4.0,2.5,5.0,4.2,4.4,4.1,1,4
S100256,20,MCA,7.49,4.7,4.3,8.4,3.7,1.8,7.6,3,1,0,0,,3,0,1,4,2,0.0,6.5,,6.6,5.2,8.5,0,5
S100257,21,B.Tech,8.93,8.3,5.5,7.0,6.3,2.6,1.9,2,1,0,1,84.0,2,0,1,2,1,3.0,2.2,5.6,7.0,8.0,7.9,0,5
S100258,24,B.Tech,7.64,7.3,4.1,4.7,5.9,7.0,9.6,5,0,0,1,141.0,3,0,1,0,3,3.0,5.1,4.8,2.7,8.0,5.9,0,5
S100259,20,B.Sc,7.47,4.1,8.3,5.3,4.7,5.8,1.9,1,1,1,3,20.0,1,0,1,2,2,5.0,3.8,10.0,5.9,5.1,6.2,0,5
S100260,22,B.Tech,6.91,8.7,6.4,5.3,5.7,7.0,7.8,2,1,1,3,34.0,4,1,3,3,4,1.0,3.7,9.2,2.9,6.9,6.4,1,4
S100261,24,MCA,8.02,10.0,6.5,5.6,6.1,7.9,5.3,2,2,0,0,,4,0,1,2,2,3.0,5.7,,6.5,6.0,6.0,1,1
S100262,20,B.Tech,7.93,8.3,8.5,6.4,4.6,2.8,3.9,1,0,0,1,346.0,3,0,0,4,1,0.0,5.6,4.2,4.6,8.3,6.9,0,5
S100263,22,B.Tech,7.51,9.1,8.1,10.0,5.5,7.8,4.1,3,2,0,2,303.0,4,2,3,2,3,4.0,6.6,6.2,3.9,6.3,6.6,1,0
S100264,21,BCA,6.79,6.7,7.3,5.9,3.8,1.3,4.9,2,2,0,3,18.0,2,1,1,1,1,3.0,3.3,4.3,2.1,5.6,5.4,0,5
S100265,23,B.Tech,7.62,3.5,3.0,6.8,10.0,6.1,5.5,1,1,1,2,211.0,3,0,0,3,5,2.0,3.7,9.8,5.3,8.9,3.5,1,2
S100266,21,B.Tech,7.44,3.2,4.4,2.1,7.9,3.4,3.0,1,1,0,1,56.0,0,0,0,2,0,3.0,7.7,8.0,3.2,4.3,5.7,0,5
S100267,25,B.Tech,6.3,7.0,3.8,4.5,6.3,2.5,4.5,1,1,1,1,98.0,2,0,1,7,5,1.0,5.1,4.6,2.5,6.6,7.3,1,4
S100268,20,B.Tech,6.18,5.4,7.3,8.0,8.1,5.9,3.3,2,0,0,1,28.0,0,0,0,4,2,5.0,6.2,,5.9,8.5,7.1,1,0
S100269,25,B.Tech,8.01,4.9,6.1,6.3,1.8,6.6,2.3,4,0,0,1,264.0,5,0,3,5,3,5.0,4.5,3.8,7.4,7.2,8.4,0,5
S100270,24,B.Tech,5.16,6.4,3.0,0.0,0.7,6.5,3.2,3,1,1,1,41.0,2,0,2,4,3,3.0,6.4,6.3,6.3,4.6,8.6,0,5
S100271,25,B.Tech,7.68,7.6,5.4,6.8,5.0,5.0,2.5,2,0,0,3,392.0,1,0,0,5,4,4.0,0.5,6.2,2.6,4.5,7.2,1,1
S100272,25,B.Tech,7.07,3.9,2.8,9.3,3.0,4.8,4.1,2,0,0,2,466.0,4,1,1,4,3,3.0,7.8,7.8,5.2,3.5,6.2,0,5
S100273,21,B.Sc,8.68,5.7,5.7,1.5,5.3,5.7,6.0,0,0,0,4,428.0,3,1,1,2,1,3.0,4.6,8.3,6.9,8.7,6.5,0,5
S100274,25,B.Sc,7.06,9.2,2.5,8.5,6.2,5.2,5.3,3,1,0,0,,2,0,1,7,2,0.0,3.0,6.5,5.2,4.0,4.7,0,5
S100275,23,B.Tech,8.09,4.6,6.9,0.0,7.6,5.7,9.3,2,0,0,3,376.0,2,0,1,4,3,3.0,3.4,6.1,6.2,7.3,7.4,1,4
S100276,25,B.Tech,7.14,8.1,6.6,7.4,3.5,4.9,0.1,2,0,0,1,455.0,0,0,0,5,1,5.0,5.0,0.7,4.6,3.4,8.4,0,5
S100277,25,B.Tech,7.6,5.6,9.6,5.5,6.6,6.4,6.0,2,1,0,2,442.0,2,0,1,2,2,1.0,5.3,9.3,4.7,10.0,7.9,1,0
S100278,23,MCA,8.16,7.5,7.5,0.8,5.8,0.9,5.0,2,0,0,1,108.0,3,1,3,4,1,3.0,5.8,5.3,4.2,3.6,6.9,1,4
S100279,22,MCA,7.08,8.5,5.0,6.4,6.5,4.2,6.8,6,0,0,2,302.0,5,0,0,2,1,2.0,3.1,6.7,6.7,6.1,5.3,1,3
S100280,20,B.Tech,8.4,7.8,7.4,7.8,4.8,1.5,6.6,3,1,1,3,153.0,6,2,3,5,2,2.0,7.2,10.0,6.9,8.2,5.1,1,4
S100281,20,B.Tech,6.61,8.1,3.0,6.2,8.6,5.1,4.6,2,0,0,4,418.0,3,0,1,2,3,3.0,4.5,4.4,4.4,4.7,5.5,0,5
S100282,22,B.Tech,7.77,4.4,3.9,6.7,5.6,8.1,5.4,3,3,0,0,,1,0,0,2,2,7.0,4.4,6.5,7.0,7.0,4.3,1,3
S100283,24,B.Tech,8.33,8.5,6.5,4.7,9.3,3.5,3.4,1,1,0,0,,2,0,0,4,0,5.0,5.0,7.4,2.6,5.5,6.3,0,5
S100284,23,B.Sc,,5.0,1.5,1.8,4.2,4.8,6.4,8,2,1,2,190.0,4,0,1,4,0,3.0,6.8,8.5,5.2,6.7,0.2,0,5
S100285,22,B.Tech,9.22,7.0,5.7,6.9,7.3,6.2,0.9,1,0,0,2,426.0,3,0,1,1,4,6.0,5.4,6.5,2.8,7.9,4.7,0,5
S100286,21,B.Tech,6.81,7.0,3.8,9.0,5.7,0.0,6.7,1,1,0,2,147.0,3,1,3,5,2,3.0,4.4,8.6,3.2,5.2,5.9,0,5
S100287,23,B.Tech,6.26,7.4,6.0,7.8,5.1,3.4,4.9,3,2,0,1,448.0,2,1,1,4,4,2.0,4.9,5.8,2.8,8.7,10.0,1,0
S100288,23,B.Tech,6.61,7.1,3.6,1.5,7.1,5.3,3.9,2,0,0,4,248.0,8,1,3,2,3,1.0,7.9,7.5,4.2,6.6,5.8,0,5
S100289,25,B.Tech,8.09,5.0,6.6,2.5,5.2,0.0,4.5,4,3,1,2,343.0,2,0,2,6,5,5.0,7.6,7.2,6.7,9.5,5.9,0,5
S100290,24,MCA,7.95,4.1,5.8,3.8,0.5,2.4,4.6,3,0,0,2,265.0,5,1,2,5,2,7.0,6.2,6.3,5.3,4.5,4.1,0,5
S100291,23,B.Tech,7.59,8.1,8.6,2.3,0.0,6.9,7.9,1,0,0,2,216.0,1,0,0,1,3,3.0,5.8,7.1,4.3,4.8,9.2,1,4
S100292,25,BCA,6.49,6.8,5.8,5.6,8.3,6.7,10.0,0,0,0,2,152.0,3,0,2,7,2,2.0,10.0,4.9,5.2,5.6,4.2,1,4
S100293,22,B.Tech,8.19,8.6,4.3,6.3,8.3,5.3,7.7,1,1,1,2,141.0,6,1,2,4,4,2.0,6.4,6.0,1.4,3.8,9.9,1,4
S100294,25,MCA,6.4,6.4,5.3,2.6,9.6,6.4,3.8,3,0,0,1,320.0,3,1,1,7,1,4.0,5.9,4.2,6.6,7.7,4.3,1,3
S100295,22,MCA,8.54,4.0,3.1,7.1,5.8,5.0,6.4,3,1,0,1,163.0,5,0,0,3,4,5.0,5.1,5.7,1.0,5.9,7.7,1,3
S100296,20,BCA,,8.2,6.6,6.7,3.2,5.7,6.5,1,0,0,4,432.0,2,0,0,4,2,3.0,6.2,8.5,4.1,3.9,5.7,1,4
S100297,22,MCA,7.83,5.8,7.0,4.4,5.0,3.8,3.0,1,1,1,0,,1,0,0,2,0,3.0,0.0,7.3,5.3,4.5,4.7,0,5
S100298,20,M.Tech,8.02,7.1,10.0,5.2,5.8,4.8,2.2,1,1,1,2,108.0,0,0,0,5,2,3.0,7.6,7.1,6.4,4.4,7.8,1,0
S100299,20,B.Sc,7.06,5.3,4.6,1.6,3.8,3.1,4.9,3,2,1,1,24.0,1,0,0,3,3,2.0,3.0,3.6,6.0,7.7,8.5,0,5
S100300,25,M.Tech,5.87,9.5,5.3,4.8,9.1,7.3,6.8,4,2,1,2,431.0,2,1,1,1,1,1.0,4.1,7.1,5.4,6.8,5.4,1,3
S100301,24,B.Tech,,4.9,4.6,5.5,10.0,7.8,1.5,3,1,1,1,207.0,3,0,1,7,3,3.0,2.7,6.4,8.4,5.8,5.8,1,3
S100302,21,B.Tech,6.52,5.9,6.2,5.8,6.8,7.5,3.4,0,0,0,2,18.0,3,0,0,4,1,2.0,4.0,7.5,9.5,5.3,5.0,0,5
S100303,25,B.Tech,6.2,6.7,6.6,6.3,5.8,3.6,6.3,0,0,0,1,22.0,1,1,1,4,0,2.0,4.8,9.0,5.5,5.6,6.2,1,0
S100304,20,MCA,9.05,4.5,5.7,6.0,3.2,2.4,5.1,0,0,0,1,459.0,2,0,0,3,1,4.0,7.3,5.8,5.3,9.2,3.6,0,5
S100305,21,B.Tech,7.75,7.1,8.0,5.0,8.9,7.3,8.1,4,1,0,2,440.0,3,0,1,3,2,3.0,8.1,5.9,5.2,5.6,0.4,1,1
S100306,24,B.Tech,7.84,9.4,4.6,6.1,6.0,5.7,1.9,1,0,0,2,139.0,4,0,1,5,1,3.0,9.4,8.2,4.3,7.5,2.1,0,5
S100307,21,B.Sc,7.22,5.6,7.8,7.5,5.2,5.2,10.0,5,0,0,0,,6,0,0,4,3,3.0,5.7,5.4,6.3,5.4,5.4,1,4
S100308,24,B.Tech,7.34,7.2,6.9,5.3,6.8,3.1,1.6,1,1,0,2,126.0,6,1,4,6,2,2.0,5.1,6.7,8.0,9.0,3.7,1,0
